Date,VZ,AMZN,MSFT,IBM,TSLA
12/30/2016,52.8158,749.87,61.7655,164.6878,213.69
12/29/2016,53.172,765.15,62.521,165.293,214.68
12/28/2016,52.8752,772.13,62.6104,164.8863,219.74
12/27/2016,53.0731,771.4,62.8987,165.8288,219.53
12/23/2016,53.1126,760.59,62.8589,165.4022,213.34
12/22/2016,53.083,766.34,63.167,165.7494,208.45
12/21/2016,52.4102,770.6,63.1571,166.0173,207.7
12/20/2016,52.5586,771.22,63.1571,166.2852,208.79
12/19/2016,52.3508,766,63.2366,165.3724,202.73
12/16/2016,51.7175,757.77,61.9246,165.422,202.49
12/15/2016,51.2624,761,62.2029,166.7019,197.58
12/14/2016,51.0843,768.82,62.3023,167.1881,198.69
12/13/2016,51.8066,774.34,62.6005,166.9698,198.15
12/12/2016,51.2129,760.12,61.7954,164.2017,192.43
12/9/2016,50.9458,768.66,61.5966,165.2137,192.18
12/8/2016,50.5896,767.33,60.6424,164.0628,192.29
12/7/2016,50.837,770.42,61.0002,163.4972,193.15
12/6/2016,49.8277,764.72,59.5887,159.0921,185.85
12/5/2016,49.2242,759.36,59.8571,158.5861,186.8
12/2/2016,49.2835,740.34,58.893,158.7647,181.47
12/1/2016,49.3429,743.65,58.8433,158.5662,181.88
